Recipe_Name,Recipe_Ingredients,Cuisine
Crispy duck with apricot and plum sauce,"4 tbsp grated fresh root ginger 2 tbsp Shaoxing rice wine or dry sherry  2 tbsp ground Sichuan peppercorns pinch of salt, to taste (optional)  6 whole star anise 1 tbsp dark soy sauce 1 tbsp light soy sauce  2 duck breasts, skin scored in a criss-cross pattern 1 tbsp groundnut oil salad leaves, to serve 100ml/3½fl oz water 2 plums, stones removed, quartered  50g/2oz dried apricots, chopped  2½ tsp caster sugar 1 tbsp honey 1 cinnamon stick  1 whole star anise  1 lime, juice only",north african
Prawn balls,"300g/10½oz king prawns, raw and peeled 1 tsp oyster sauce 1 tsp groundnut oil 1 tsp toasted sesame oil ¼ tsp fine sea salt ½ tsp finely grated fresh root ginger 50g/1¾oz tinned bamboo shoots, drained and finely chopped  100g/3½oz sesame seeds oil, for deep-frying dark soy sauce or sweet chilli sauce, to serve",north african
Egg-fried rice,"150g/5½oz long grain or basmati rice 2 tbsp sesame, vegetable or olive oil  2 large free-range eggs, beaten 1 small brown onion, finely chopped  ½ red pepper, diced   2 garlic cloves, crushed  3cm/1¼in piece fresh root ginger, peeled and grated (optional)  2 spring onions, finely sliced 50g/1¾oz frozen peas, defrosted (optional)  1 tbsp light soy sauce  salt and black pepper",north african
Egg fried rice with tomatoes,"2 tbsp groundnut oil 3 free-range eggs, beaten 400g/14oz cooked long-grain rice, chilled until completely cold ½ small head broccoli, cut into small florets 1 carrot, cut into matchsticks 3 tomatoes, sliced  3 tbsp light soy sauce dash toasted sesame oil (optional) freshly ground black pepper (or pinch white pepper) 1 large spring onion, finely sliced",north african
Fragrant pork and aubergines,"4 tbsp groundnut oil  1 aubergine, halved lengthways and cut into 1cm/½in slices 2 garlic cloves, finely chopped  1 tbsp grated fresh root ginger  1 red chilli, finely chopped  200g/7oz pork mince 1 tbsp Shaoxing rice wine or dry sherry 2 tbsp chilli bean sauce (available from Asian grocers) 200ml/7fl oz hot chicken stock 2 heads pak choi or ½ Chinese cabbage, halved and sliced lengthways  1 tbsp clear rice vinegar or cider vinegar 1 tsp toasted sesame oil 2 spring onions, chopped 1 tbsp cornflour, mixed with 2 tbsp cold water",north african
Chinese lemon chicken,"450g/1lb chicken breasts, no skin or bone - cut into strips 1 egg white 2 tsp cornflour good pinch salt sesame oil 250ml/8fl oz groundnut oil 3 lemons, juice and zest 85ml/2fl oz chicken stock 1 tbsp sugar 1 tbsp light soy sauce splash of dry sherry (optional) 1 clove garlic, crushed 1 red chilli, finely chopped 1 tsp cornflour mixed with 1 tbsp water small bunch spring onions, shredded salt and pepper, to taste",north african
Mu shu chicken,"4 tbsp groundnut oil 2 free-range eggs, lightly beaten 1 garlic clove, finely chopped  1 tbsp grated fresh root ginger  250g/9oz skinless chicken breast fillets, chopped into small pieces  1 tbsp Shaoxing rice wine or dry sherry 2 dried Chinese mushrooms, pre-soaked in hot water for 20 minutes, drained and finely chopped  1 small carrot, carrot 50g/2oz gherkins or preserved mustard greens, finely diced 50g/2oz dried wood ear mushrooms, pre-soaked in hot water for 20 minutes, drained and finely chopped 120g/4oz canned bamboo shoots, drained and chopped  1 handful dry-roasted peanuts 2 tbsp light soy sauce 1 tsp toasted sesame oil  2-3 pinches ground white pepper 12 Iceberg lettuce leaves or 12 small wheat flour Chinese pancakes, steamed in a bamboo steamer for 5-6 minutes",north african
Steamed chilli soy tofu,"250g/9oz silken tofu 1 small red chilli, sliced finely 2 spring onions, trimmed and sliced finely 1 tbsp reduced-sodium soy sauce 1 tsp sesame oil 1 tsp oyster sauce (or vegetarian oyster sauce, if preferred) 2 tbsp fresh coriander steamed rice, to serve",north african
Chilli chicken,"4 tbsp vegetable oil 8–10 whole bird’s-eye chillies 2 tbsp finely grated fresh root ginger 2 garlic cloves, finely chopped  2 onions, finely chopped  8 chicken thighs, boneless and skin removed, cut into chunks 2–3 tbsp dark soy sauce  2–3 tbsp white vinegar pinch salt  1 spring onion, finely sliced, to garnish freshly steamed rice, to serve",north african
Lighter egg fried rice ,"30g/1oz basmati rice or 75g/2½oz cooked basmati rice 1 tsp rapeseed oil  2 spring onions, chopped 25g/1oz red pepper, roughly chopped 100g/3½oz cooked peeled prawns 25g/1oz peas (fresh or frozen) 1 tsp soy sauce 1 medium free-range egg, beaten chopped fresh coriander (optional)",north african
Steamed mussels,"500g/1 lb 2oz fresh mussels  2 tsp garlic, finely chopped  1 tbsp fresh root ginger, finely chopped 1 tsp chilli bean sauce 1 tbsp Shaoxing rice wine or dry sherry 1 tbsp light soy sauce 2 tsp dark soy sauce 2 fresh red chillies, seeded and chopped 3 tbsp spring onions, finely shredded 3 tbsp groundnut or peanut oil fresh coriander sprigs, to garnish",north african
Easy chicken chow mein,"150g/5oz dried yellow shi wheat flour noodles, or medium egg noodles dash toasted sesame oil  300g/11oz skinless chicken breast fillets, sliced into strips 2 tbsp light soy sauce  1 tsp five-spice powder  1 tsp chilli sauce (optional) 1 tbsp cornflour  1 tbsp groundnut oil  1 red pepper, seeds removed and thinly sliced  150g/5oz bean sprouts 1 spring onion, sliced lengthways freshly ground black pepper",north african
Pickled cucumber,"1 whole cucumber, peeled 1 tsp salt 60ml/2fl oz white vinegar  50g/2oz sugar  7.5cm/3in fresh root ginger 4 stem ginger in sugar syrup",north african
Easy vegetable stir-fry,"2 tbsp sunflower oil 4 spring onions, cut into 4cm/1½in lengths 1 garlic clove, crushed piece fresh root ginger, about 1cm/½in, peeled and grated 1 carrot, cut into matchsticks 1 red pepper, cut into thick matchsticks 100g/3½oz baby sweetcorn, halved 1 courgette, cut into thick matchsticks 150g/5½oz sugar-snap peas or mangetout, trimmed 2 tbsp hoisin sauce 2 tbsp low-salt soy sauce",north african
Special fried rice,"2 tbsp vegetable oil 1 tbsp sesame oil (optional)  1 clove garlic, chopped 1 tbsp fresh ginger, chopped  2 free-range eggs 225g/8oz pre-cooked chilled long grain rice 3 spring onions, finely chopped 100g/3½oz frozen peas, thawed and drained 50g/1¾oz cooked ham, diced  50g/1¾oz cooked chicken, diced  salt and pepper ",north african
Pork noodles with bean sauce,"300g/10½oz dried or fresh egg noodles, cooked according to the packet instructions and drained 1½ tbsp oil 2 garlic cloves, finely chopped 1 tbsp fresh root ginger, finely chopped 3 tbsp spring onions, chopped, plus extra for garnish 450g/1 lb minced pork 3 tbsp yellow bean sauce or black bean sauce 1½ tbsp Shaoxing rice wine or dry sherry (optional) 2 tbsp soy sauce ½ tsp freshly ground black pepper 2 tsp chilli oil (optional) 2 tsp sugar",north african
Beef in oyster sauce,"350g/12oz beef fillet 1 tsp light soy sauce 1½ tbsp oyster sauce  pinch sugar salt and freshly ground black pepper 2 tbsp groundnut oil  3 cloves garlic, finely chopped 1 chilli, de-seeded, finely chopped 200g/7oz baby spinach leaves 1 tbsp Shaoxing rice wine or dry sherry pinch dried chilli flakes  1 tsp groundnut oil  100g/3½oz oyster mushrooms dash Chinese black rice vinegar or balsamic vinegar dash light soy sauce",north african
'Lion head' meatballs,"500g/1lb 2oz beef mince 4 garlic cloves, finely chopped 2 tbsp grated fresh root ginger 2 spring onions, finely chopped pinch sea salt 1 tbsp Shaoxing rice wine or dry sherry (or more, to taste) 2 tbsp light soy sauce 1 tbsp toasted sesame oil 1 free-range egg, beaten 1 tbsp cornflour pinch ground white pepper 100ml/3½fl oz groundnut oil 750ml/1¼ pint vegetable stock 300g/11oz Chinese leaf, quartered lengthways  3 dried Chinese mushrooms, soaked in warm water for 15 minutes, then drained (alternative use fresh chestnut mushrooms, sliced) 1 tbsp light soy sauce 1 tbsp cornflour, mixed with 2 tbsp cold water (optional) sea salt and ground white pepper 2 large spring onions, sliced dash sesame oil (optional)",north african
Sichuan orange beef,"1 tbsp Shaoxing rice wine or dry sherry 2 tbsp light soy sauce 2 tbsp clear honey 4 tbsp orange juice pinch ground white pepper 2 beef fillet steaks  1 tbsp groundnut oil 100g/3½oz fresh shiitake mushrooms, sliced mixed salad leaves 1 orange, peeled and segmented 1 spring onion, finely sliced (optional)",north african
'Dragon prawn' noodles,"650g/1lb 6oz live lobster 2 tbsp groundnut oil 5 cloves garlic, crushed 2.5cm/1in piece fresh root ginger, peeled, finely chopped 4 tbsp yellow bean sauce (available from Asian grocers) 4 tbsp light soy sauce 2 tbsp Shaoxing rice wine or dry sherry 350g/12oz yellow shi whole wheat noodles or medium egg noodles, cooked according to packet instructions 4 spring onions, sliced lengthways dash toasted sesame oil (optional)",north african
Easy beef stir-fry,"450g/1lb brown basmati rice 1 tbsp groundnut oil 450g/1 lb frying steak, cut into 1cm/½in thick slices 1 tsp cornflour 60g/2¼oz cashew nuts 1 red onion, thinly sliced 3 garlic cloves, thinly sliced thumb-sized piece fresh ginger, peeled and grated 1 head broccoli, cut into small florets, stalk sliced into strips 2 tbsp soy sauce 2 tbsp oyster sauce ½ vegetable stock cube 1 small bunch coriander, roughly chopped freshly ground black pepper",north african
Chinese five-spice spare ribs,750g/1½lb pork spareribs 600ml/1 pint groundnut (peanut) oil 1 tbsp Shaoxing rice wine or dry sherry 1 tbsp light soy sauce 1 tbsp Chinese black rice vinegar or cider vinegar 2 tsp sesame oil 1 tbsp cornflour 2 tbsp finely chopped garlic 2 tsp five-spice powder 3 tbsp finely chopped spring onions 3 tbsp Chinese rock sugar or granulated sugar 3 tbsp Shaoxing rice wine or dry sherry 150ml/5fl oz chicken stock 1½ tbsp light soy sauce 2 tbsp dried grated orange peel 85ml/3fl oz Chinese black rice vinegar or cider vinegar,north african
Hoisin salmon with broccoli and noodles ,"4 x 125g/4oz salmon fillets, with skin left on 2 heaped tbsp hoisin sauce (from a jar or bottle) 150g/5½oz cherry tomatoes, halved 140g/5oz medium egg noodles 200g/7oz long-stemmed broccoli, trimmed  freshly ground black pepper dark soy sauce, to serve (optional)",north african
Blinis,"12.5g/½oz yeast 350g/12oz plain flour, sifted 285ml/½ pint milk, lukewarm 2 free-range egg yolks a pinch of salt 145ml/¼ pint milk, tepid 2 free-range egg whites, whisked",north african
Povitica ,"300g/10½oz plain flour, plus extra for dusting 40g/1½oz caster sugar  7g salt 10g/⅓oz fast-action yeast  30g/1oz unsalted butter, melted 1 large free-range egg, beaten ½ vanilla pod, split and seeds scraped out 150ml/5½fl oz whole milk, warmed 60g/2¼oz unsalted butter 4 tbsp whole milk 280g/10oz walnut pieces ½ vanilla pod, split and seeds scraped out 100g/3½oz caster sugar  2 tbsp cocoa powder 1 free-range egg yolk, beaten 15g/½oz butter, melted 1 free-range egg white, beaten 100g/3½oz icing sugar",north african
Bigos stew,"50g/1¾oz butter 1 onion, sliced 1 tsp juniper berries, crushed ½ tsp caraway seeds 300g/10½oz lean pork belly, cubed 1 tbsp brown sugar 500g/1lb 2oz sauerkraut half a white cabbage, shredded 200g/7oz fresh chopped tomatoes or 400g tin tomatoes 500ml/18fl oz chicken or beef stock 10g/¼oz dried mushrooms 300g/10½oz smoked Polish sausage, such as kabanas, chopped 1 apple, grated",north african
Dobos torte,"800g/1lb 12oz granulated sugar 400ml/14fl oz double cream 450g/1lb butter, softened  8 large free-range eggs 350g/12oz caster sugar 300g/10½oz sifted self-raising flour  75g/2½oz flaked almonds 16 hazelnuts, blanched 400g/14oz granulated sugar",north african
Latvian salad,"100g/3½oz barley, rinsed 1 tbsp olive oil 2 large handfuls dark salad leaves including spinach 200g/7oz green beans, topped and tailed 4 radishes, sliced 2 cooked beetroot, diced small bunch of dill, leaves only small bunch of parsley, leaves only small bunch of mint, leaves only 100g/3½oz crumbly Latvian cheese or feta 50g/2oz walnuts, lightly toasted 100ml/3½fl oz buttermilk 1 tbsp sour cream 1 tbsp lemon juice or wine vinegar ½ garlic clove, crushed or finely chopped 1 tsp honey salt and freshly ground black pepper 1 pomegranate, seeds only",north african
Sweet pierogi,"handful of large mint leaves, picked from their stems 1 free-range egg white 100g/3½oz caster sugar 250g/7oz plain flour 15g/½oz icing sugar pinch salt 1 lemon, zest only 1 free-range egg 2 tbsp sour cream knob of butter 200g/9oz fresh blueberries 2 tbsp caster sugar, plus a little extra for cooking 100ml/3½fl oz sour cream or crème fraiche 1 tbsp icing sugar, plus more for sprinkling",north african
Beef stroganoff,"½ tbsp light olive oil  1 large onion, finely sliced 3 garlic cloves, finely chopped 1 beef stock cube 2 tsp sweet smoked paprika 1 tbsp tomato purée 400g tin beef consommé 150g/5½oz chestnut mushrooms, thinly sliced 1 tbsp Dijon mustard 2 rump steaks (175g/6oz each), visible fat trimmed olive oil spray 60g/2¼oz cornichons or small gherkins, sliced 75ml/2½fl oz half-fat crème fraîche 2 tbsp finely chopped flatleaf parsley 2 tbsp roughly chopped chervil or parsley 2 tbsp dried onion flakes sea salt and freshly ground black pepper 160g/5¾oz basmati rice, freshly cooked",north african
Pierogi ,"50g/2oz dried mushrooms 250g/9oz ready-made sauerkraut (available in jars from larger supermarkets)  40g/1½oz butter  250g/9oz floury potatoes, such as Maris Piper, cut into pieces 3 tbsp olive oil 1 medium onion, finely diced 250g/9oz half-fat cottage cheese  250g/9oz self-raising flour, plus extra for dusting 1 tsp salt 1 tbsp vegetable oil 150ml/5fl oz warm water 300ml/10½fl oz soured cream small handful fresh dill, to garnish",north african
Vodka strawberry cheesecake,"100ml/3½fl oz vodka 1 tbsp caster sugar 1 tsp vanilla bean paste 400g/4oz strawberries, quartered and pricked all over with a fork knob of butter, for greasing 300g/10½oz biscuits, such as digestive biscuits pinch of salt ½ tsp cinnamon 150g/5½oz unsalted butter, melted 500g/1lb 2oz curd cheese (available from some large supermarkets) 375ml/13fl oz double cream  1 lemon, juice and zest only 200g/7oz caster sugar 1 tsp vanilla bean paste 50g/1¾oz cornflour 5 free-range eggs, beaten 100g/3½ oz strawberry jam 200g/7oz strawberries, halved whipped cream, to serve",north african
Sausage and chorizo goulash,"1 tbsp vegetable oil knob of butter 700g/1½lb good quality beef sausages, chopped 300g/10½oz spicy chorizo sausage, chopped 2 onions, finely sliced 1 garlic clove, chopped.  2 tbsp plain flour 1 tbsp smoked paprika 2 red chillies, finely chopped 1 red pepper, finely sliced 200ml/7fl oz beef stock 175ml/6fl oz soured cream 1 tbsp chopped fresh parsley cooked long-grain rice, to serve",north african
Walnut-crusted pork chops with figs,"6 large thick-cut pork chops 1 tsp ground cinnamon 1 tsp freshly grated nutmeg 100g/3½oz  walnuts, finely chopped 2 tbsp olive oil 70g/2½oz butter, softened 125ml/4fl oz white wine 16 dried figs, finely chopped 125ml/4fl oz chicken stock 1 tbsp roughly chopped flatleaf parsley 1 lemon, juice only salt and freshly ground black pepper",north african
Aubergine and walnut caviar,"2 large aubergines 4 garlic cloves, 2 thinly sliced and 2 crushed 1 lemon, juice only 2 tbsp olive oil 2 tbsp finely chopped parsley 2 tbsp finely chopped mint 50g/1¾oz walnuts, finely chopped  blinis sour cream pomegranate seeds",north african
Beef stroganoff with matchstick potatoes,"675g/1½ lb beef fillet, preferably cut from the tail end 65g/2½oz unsalted butter 1½ tbsp paprika (hot Hungarian, if you like a little subtle heat) 1 large onion, very thinly sliced 350g/12oz button mushrooms, thinly sliced 3 tbsp sunflower oil 300ml/10fl oz soured cream 2 tsp lemon juice small handful of parsley leaves, finely chopped salt freshly ground black pepper 450g/1lb floury potatoes, such as Maris Piper, peeled sunflower oil, for deep-frying",north african
Beef stroganoff with sautéed potatoes,"75g/3oz butter 1 onion, finely sliced 150g/5oz white mushrooms, finely sliced 2 tbsp tomato purée 1½ tsp Dijon mustard ½ tsp hot smoked paprika 110ml/4fl oz beef stock 500g/1lb 2oz beef fillet, cut into strips salt and freshly ground black pepper  150ml/5fl oz brandy 200ml/7fl oz soured cream 2 tbsp flatleaf parsley 3 tbsp olive oil 3 large potatoes, peeled and cubed ½ onion, finely chopped",north african
Braised red cabbage with apples,"50g/2oz butter 1 medium onion, finely sliced 2 dessert apples, peeled, cored and sliced 1kg/2¼lb red cabbage, finely sliced 100g/4oz sultanas or raisins 200ml/7fl oz sherry vinegar salt and freshly ground pepper",north african
Chicken paprika,"1 large chicken, jointed (or use 2 large chicken legs and 2 breasts, halved) salt 2 tbsp olive oil knob butter 1 onion, chopped 2-3 cloves garlic, chopped 2  tbsp sweet paprika, or 1 tbsp each sweet and hot paprika  1 tbsp flour 285ml/½pint chicken stock  3 tbsp chopped fresh flatleaf parsley  2 red peppers, seeds removed and cut into 1cm/0.5in strips  4 large ripe tomatoes, roughly chopped 250ml/8fl oz soured cream",north african
Classic chicken Kiev with spring vegetables,"225g/8oz unsalted butter, softened 1 garlic bulb, cloves peeled and crushed 4 tbsp chopped fresh flatleaf parsley leaves vegetable oil, for deep-frying 4 skinless chicken breasts, wing bone left in (ask your butcher to do this for you) 75g/2¾oz plain flour 3 free-range eggs, lightly beaten 90g/3¼oz Japanese panko breadcrumbs 125g/4½oz runner beans, trimmed, cut into 4cm/1½in pieces 125g/4½oz fresh or frozen peas 4 spring onions, trimmed, white part roughly chopped 125g/4½oz broad beans, double podded 6 blanched garlic scapes (the long stalks from fresh garlic), cut into 4cm/1½in pieces (optional) salt and freshly ground black pepper",north african
Estonian lamb shanks,"4 small lamb shanks 2 tbsp plain flour 2 tbsp vegetable oil 2 small onions, finely chopped 1 tbsp juniper berries, lightly crushed 2 unwaxed lemons, zest only strip of orange zest 4 bay leaves small bunch of parsley 2 large potatoes, diced 4 carrots, cut into 1cm/½in slices on the diagonal	 800ml/1½ pint  lamb or chicken stock 1 orange, juice only 2 tbsp soured cream salt and freshly ground black pepper 400g/14oz ready-made gnocchi, cooked according to packet instructions (optional)",north african
Lemon and thyme pork schnitzel with potato salad,"400g/14oz new potatoes, scrubbed 3 tbsp mayonnaise 1 tbsp crème fraiche 2 tbsp baby capers, drained 50g/2oz baby gherkins, drained and sliced 1 lemon, zest and 2 tsp juice salt and freshly ground black pepper 1 tbsp chopped fresh flatleaf parsley 2 x 180g/6oz pork loin steaks, fat trimmed salt and freshly ground black pepper 1 large free-range egg 2 tbsp plain flour 75g/2½oz coarse dried white breadcrumbs, preferably Japanese panko breadcrumbs ½ lemon, zest only, finely grated 15g/½oz parmesan, finely grated 1 heaped tbsp chopped fresh thyme leaves 300ml/10½fl oz sunflower oil 2 handfuls fresh watercress 1-2 tsp extra virgin olive oil",north african
Pork meatloaf with soured cream (Faschierter Rahmbraten),"1 tbsp sunflower oil 1 large onion, finely diced 1 garlic clove, crushed 500g/1lb 2oz pork mince, or a mixture of beef and pork mince 175g/6oz fresh white breadcrumbs 1 tbsp dried marjoram or 2 tbsp fresh marjoram leaves, chopped 1 tsp caraway seeds 1 tsp flaked sea salt 1 tsp coarsely ground black pepper 2 medium eggs, beaten 500ml/18fl oz beef stock (preferably fresh stock) 150ml/5fl oz/¼ pint soured cream a few sprigs of fresh marjoram, to garnish (optional)",north african
Creamy paprika chicken,"4 small chicken breasts, without skin or bone 150ml/5¼fl oz double  cream 1 tbsp Worcestershire sauce 1 tbsp runny honey 1 tbsp paprika 1 tbsp grainy mustard young spinach  boiled rice, cooked wild rice, cooked",north african
Pork fillet stroganoff,"400g/14oz pork fillet  2 tbsp sunflower oil 25g/1oz butter 1 onion, finely sliced 2 tsp paprika 225g/8oz button chestnut mushrooms, halved 140ml/5fl oz carton soured cream 1 tbsp lemon juice salt and freshly ground black pepper 1 tbsp chopped fresh parsley mashed potato ",north african
Shashlik kebabs with sour cream dip and plum sauce,"1 tbsp olive or vegetable oil 100ml/3½fl oz white wine  1 tbsp cider vinegar 1 onion, sliced 4 large garlic cloves, crushed 3 bay leaves, crumbled 1 tsp paprika 4 cloves ¼ tsp cinnamon 1kg/2lb 4oz pork, cubed 200g/7oz sour cream handful finely chopped dill handful finely chopped coriander handful finely chopped parsley 1 tsp cider vinegar pinch sugar 300g/10½oz ripe plums, stoned and diced 1 tbsp sugar 1 tsp cider vinegar 1 red chilli, seeds removed, chopped or 1 tsp ground chilli 2 tbsp finely chopped coriander 2 tbsp finely chopped dill salt and freshly ground black pepper",north african
Really good rye bread,"600ml/20fl oz strong beer 20g/¾oz fresh yeast 400g/14oz rye flour 2 tbsp yoghurt 2 tbsp caraway seeds 1 tbsp black treacle 1 tbsp salt 2 tbsp olive oil, plus a little extra for greasing 800g/1lb 12oz strong white bread flour polenta, for dusting 1 free-range egg, beaten",north african
Arlettes,"60g/2¼oz strong white bread flour, plus extra for dusting 60g/2¼oz plain flour 1 tsp salt 40g/1½oz unsalted butter, melted 125g/4½oz unsalted butter, at room temperature 25g/1oz strong white bread flour 25g/1oz plain flour 50g/1¾oz granulated sugar 2 tsp ground cinnamon icing sugar, for dusting",north african
James Martin's coq au vin,"25g/1oz butter 150g/5½oz shallots, peeled but left whole 5 garlic cloves, crushed  150g/5½oz streaky bacon, cut thickly  sprig of fresh thyme or a good pinch of dried 350g/12½oz button mushrooms 500ml/16½fl oz good red wine 500ml/16½fl oz chicken stock 2 tbsp balsamic vinegar 1 free range chicken, cut into 8 serving pieces, on the bone but skin removed (or 6 chicken thighs) small bunch flatleaf parsley, chopped salt and crushed black pepper",north african
Rum and honey babas,"115g/4oz unsalted butter, at room temperature, plus extra for greasing 75g/2½oz currants or mixed dried fruit 4 tbsp dark rum 2 tbsp cold water 225g/8oz plain flour 1 x 7g sachet easy-blend dried yeast ½ tsp fine sea salt 4 large free-range eggs, beaten 4 tbsp milk 1 tbsp clear honey 400g/14oz caster sugar 400ml/14fl oz water 3 tbsp clear honey 4-6 tbsp dark rum double cream",north african
Baguettes,"250g/9oz strong white flour, plus extra for dusting 5g/¼oz salt 5g/¼oz fast action dried yeast 30ml/1fl oz olive oil, plus extra for oiling 180ml/6fl oz water",north african
Macaroons,"125g/4½oz icing sugar 125g/4½oz ground almonds 90g/3½oz free-range egg whites 2 tbsp water 110g/4oz caster sugar food colouring (optional) desiccated coconut, for sprinkling (optional) 150ml/5fl oz double or whipped cream, whipped",north african
Madeleines,"2 free-range eggs 100g/3½oz caster sugar 100g/3½oz plain flour, plus extra for dusting 1 lemon, juice and zest  ¾ tsp baking powder 100g/3½oz butter, melted and cooled slightly, plus extra for greasing",north african
Cheese sauce,"25g/1oz butter 25g/1oz plain flour 400–500ml/14–18fl oz milk 80g/3oz cheese, grated (e.g. mature Cheddar, Gouda, gruyère) salt and white pepper",north african
Coq au vin,"1 bottle good-quality red wine (preferably Pinot Noir) 1 tbsp redcurrant jelly 1 small onion, chopped  2 sticks celery, chopped 1 carrot, chopped 4 garlic cloves, un-peeled, bruised 3-4 sprigs fresh thyme 2 bay leaves 2 cloves 4 large chicken joints (thigh or leg), skinned 1 tbsp olive oil, plus extra for shallow frying  100g/3½oz smoked pancetta, rind removed, cut into large cubes  salt and freshly ground black pepper 1 tbsp plain flour 25g/1oz butter 20 button onions, peeled  20 button mushrooms 3 tbsp cognac olive oil, for shallow frying 4 thick slices of good-quality white bread, crusts removed, cut into triangles 3-4 tbsp chopped fresh parsley boiled or steamed potatoes, to serve",north african
Mary Berry's coq au vin ,"600ml/20fl oz red wine 1 tbsp olive oil 1 large chicken, jointed into eight 250g/9oz smoked streaky bacon, cut into small pieces 200g/7oz button mushrooms 400g/14oz shallots, peeled 2 sticks celery, finely chopped 60g/2¼oz plain flour 600ml/20fl oz chicken stock 6 sprigs fresh thyme salt and freshly ground black pepper",north african
Coq au vin with crème fraîche mash,"1.5kg/3¼lb chicken, jointed  150g/5oz diced bacon or lardons 10 French shallots, peeled a few thyme sprigs 1 rosemary sprig 1 tsp dried chilli flakes 3 tbsp olive oil 250ml/9fl oz white wine small knob of butter 350g/13oz mixed mushrooms (such as oyster and chestnut), sliced 3 garlic cloves, crushed small handful chopped fresh flatleaf parsley 800g/1¾Ib potatoes, peeled and chopped 150ml/5fl oz milk 25g/1oz butter 110g/4¼oz crème fraîche (or 110ml/4¼fl oz single cream) sea salt, to taste",north african
Marjolaine,"125g/4½oz blanched almonds  125g/4½oz blanched hazelnuts  300g/10½oz caster sugar  25g/1oz cornflour  6 large free-range egg whites (reserve the yolks)  270ml/9½fl oz double cream  360g/12½oz plain chocolate, 46% cocoa solids, broken into pieces 300g/10½oz caster sugar  100g/3½oz blanched almonds  225g/8oz caster sugar  pinch cream of tartar  8 free-range egg yolks  350g/12oz unsalted butter, slightly softened, cut into pieces  150g/5½oz flaked almonds  50g/1¾oz hazelnuts, chopped 50g/1¾oz pistachios, slivered",north african
Opera cake,"100g/3½fl oz caster sugar  3 tbsp kirsch 3 free-range eggs whites 15g/½oz caster sugar 100g/3½oz ground almonds 100g/3½oz icing sugar 3 free-range eggs 30g/1oz plain four, sifted 30g/1oz unsalted butter, melted 100ml/3½fl oz double cream 100ml/3½fl oz dark chocolate, 36 per cent cocoa solids, broken into small pieces 3 free-range egg yolks 75g/2½oz caster sugar 225g/8oz unsalted butter, cubed and softened 2 tsp vanilla paste 40 small raspberries 200g/7oz seedless raspberry jam, sieved",north african
Traditional puff pastry,"225g/8oz strong white flour, plus extra for flouring pinch of salt 30g/1½oz cold lard, cut into cubes 85-135ml/3-5fl oz ice-cold water 170g/6oz unsalted butter",north african
Religieuse,"60g/2¼oz butter, cut into cubes 75g/2½oz plain flour 2 free-range eggs, lightly beaten 500ml/18fl oz full-fat milk 1 vanilla pod, seeds only 6 medium free-range egg yolks 75g/2½oz caster sugar 20g/¾oz cornflour 25g/1oz plain flour 150ml/5fl oz double cream  200g/7oz plain chocolate (around 36% cocoa solids) broken into pieces 150ml/5fl oz double cream",north african
Apple tarte tatin,"320g/11oz plain flour 225g/8oz ice-cold butter 110g/4oz icing sugar 3 free-range egg yolks 6 Cox or 4 Granny Smith apples, peeled, cored and cut into 8-12 wedges ¼ lemon 110g/4oz caster sugar 110g/4oz butter double cream or vanilla ice cream",north african
Christmas chocolate Yule log,"vegetable oil, for greasing 150g/5½oz golden caster sugar 6 large free-range eggs, separated 250g/9oz high quality dark chocolate (minimum 60 per cent cocoa solids) 250g/9oz unsalted butter, softened 450g/1lb golden icing sugar, plus extra for dusting 50g/1¾oz cocoa powder, sifted 2 tbsp milk 400ml/14fl oz double cream, lightly whipped 250g/9 oz raspberries dash whisky liqueur (optional)",north african
How to make crème brûlée,"450ml/16fl oz double cream 50ml/2 fl oz whole milk 2 vanilla pods, split, seeds scraped out (or a few drops vanilla extract) 5 free-range eggs 75g/2½ oz caster sugar, plus 40g/1½ oz more, for the topping",north african
Fabulous fruit tarts,"350g/12oz plain flour pinch salt 125g/4½oz unsalted butter, flattened out in between two sheets of greaseproof paper to 1cm/½in thick, chilled in the fridge 125g/4½oz caster sugar 2 free-range eggs, whole and 1 egg, yolk only 1 egg, yolk only, beaten for egg-wash  500ml/18fl oz full fat milk 2 vanilla pods, seeds removed and pods retained 6 free-range eggs, yolks only 120g/4½oz caster sugar 50g/2oz plain flour 4 tbsp kirsch 400g/14oz strawberries 100g/3½oz redcurrants 100g/3½oz whitecurrants 100g/3½oz blackberries 4 tbsp clear apricot jam 75g/2¾oz mint tips 50g/2oz icing sugar 100g/3½oz green shelled pistachios, roughly chopped",north african
Fruit tarts,"500g/1lb 2oz plain flour, plus extra for dusting 100g/3½oz icing sugar 250g/9oz butter, cubed 1 free-range egg yolk splash ice-cold water, if needed  500ml/18fl oz milk 6 free-range egg yolks 40g/1½oz plain flour 125g/4½oz caster sugar a little icing sugar, to dust ½ jar apricot jam pineapple, peeled and diced 400g/14oz raspberries handful strawberries handful grapes",north african
Pâte sucrée (sweet shortcrust pastry),"90g/3½oz butter, softened  65g/2½oz caster sugar 3 free-range egg yolks 200g/7oz plain flour, plus extra for dusting",north african
Ratatouille,"2 aubergines 4 small courgettes 2 red peppers 4 large tomatoes 4 tbsp olive oil 2 onions, chopped 2 garlic cloves, crushed ½ tsp sugar salt and freshly ground black pepper small bunch basil, roughly torn",north african
